自身免疫性胃炎	胃炎
肺癌(骨转移)	肺恶性肿瘤##癌##骨继发恶性肿瘤##转移性癌
"升结肠癌,腹腔转移术后"	升结肠恶性肿瘤##癌##腹腔继发恶性肿瘤##转移性癌
右颌下静脉畸形	血管畸形
主动脉瓣钙化并轻度关闭不全	主动脉瓣关闭不全##主动脉瓣钙化
右侧椎动脉颅内段蛇形夹层改变	颅内椎动脉夹层
子宫发育异常	子宫畸形
右膝外翻重度左膝内翻轻度	膝外翻##膝内翻
胎盘疾病胎盘残留	胎盘部分残留不伴出血##未特指的胎盘疾患
乙状结肠中分化腺癌术后中医治疗	结肠术后##乙状结肠恶性肿瘤##腺癌##恶性肿瘤中医治疗
胰腺特指疾病胰体良性病变	胰腺其他特指的疾病
上感、肺炎恢复期、热性惊厥、颅内感染？	上呼吸道感染##肺炎##治疗后恢复期##热性惊厥##颅内感染
肾错构瘤破裂出血右	肾错构瘤破裂出血
缺铁低骨密度	铁缺乏##骨密度和结构疾患
右股静脉临时导管置管术已拔除	为肾透析的临时静脉拔管
右下肺腺癌伴双肺、右肾上腺、骨转移 cT3N3M1 IV期 EGFR19号外显子缺失突变 ALK未测	右肺下叶恶性肿瘤##腺癌##骨继发恶性肿瘤##肺继发恶性肿瘤##肾上腺继发恶性肿瘤##转移性腺癌##淋巴结继发恶性肿瘤
亚急性硬膜下血肿	硬膜下血肿
右拇指离断伤	拇指创伤性切断(完全)(部分)
右肺中叶腺癌化学治疗后的随诊检查	右肺中叶恶性肿瘤##腺癌##恶性肿瘤化学治疗后的随诊检查
面颈部刀伤	面部开放性损伤##颈部开放性损伤
骨质疏松，白细胞减少，抑郁症	骨质疏松##白细胞减少##抑郁症
胎儿异常完全型心内膜垫缺失	完全型心内膜垫缺损
左食指中指撕脱性骨折	指骨骨折
鼻咽左侧壁未分化型非角化性癌治疗中	鼻咽侧壁恶性肿瘤##癌
直肠中下段腺癌	直肠恶性肿瘤##腺癌
葡萄糖－6－磷酸脱氢酶缺陷症	葡萄糖-6-磷酸脱氢酶缺乏性贫血
宫颈鳞癌Ⅲb期化疗后放疗中	子宫颈恶性肿瘤##鳞状细胞癌##化学治疗##恶性肿瘤放疗
颏瘘下颌前牙根尖病变	牙源性面部皮肤瘘管
副蛋白血症性周围神经病变	多发性神经病[多发性神经炎/周围神经炎]##单克隆丙种球蛋白血症
总胆管结石伴慢性胆囊炎	胆总管结石伴慢性胆囊炎
新生儿肺炎黄疸原因待查	新生儿肺炎##新生儿黄疸
左眼急性视网膜坏死综合症	急性视网膜坏死综合征
筛窦癌化疗	筛窦恶性肿瘤##癌
右手指麻木待查腕管综合症	腕管综合征
食管下段恶性肿瘤中医治疗	食管下三分之一的恶性肿瘤##恶性肿瘤中医治疗
四肢肌力下降原因待查格林巴利综合症	肌张力障碍##吉兰-巴雷综合征
系统性硬皮病并雷诺病	系统性硬化症##雷诺综合征
左下肢创伤后不愈创面	开放性损伤愈合不良##下肢开放性损伤
自身免疫性疾病未分型	自身免疫病
妊娠滋养细胞肿瘤第八次化疗	滋养细胞病##化学治疗
前列腺组织伴间质慢性炎	慢性前列腺炎
盆腔粘液性肿瘤	盆腔良性肿瘤##粘液瘤
非甲状腺性变态综合症	甲状腺功能正常的病态综合征
阴道前壁重度膨出达阴道口外后壁中度膨出	阴道前后壁脱垂
盲肠降结肠符合管状腺瘤	盲肠良性肿瘤##降结肠良性肿瘤##管状腺瘤
结肠crohn病	未特指的克罗恩病
骨关节病(平足症)	骨关节病##扁平足
双侧颈动脉内中膜改变伴粥样斑块形成	颈动脉粥样硬化
晚孕头围小	妊娠状态
左下颌下腺腺瘤	颌下腺良性肿瘤##腺瘤
右侧额颞枕顶及纵裂池积液	脑积水
升结肠乳头状管状腺瘤	乳头状管状腺瘤##升结肠良性肿瘤
蓝趾指综合征	蓝趾综合征
胎儿超声异常永久性右脐	永久性右脐静脉
高乳素血症	高泌乳素血症
深静脉血栓形成（左下肢）	下肢深静脉血栓形成
眼眶特指疾患双侧眼眶良性病变	未特指的眼眶疾患
干眼病(结膜干燥)(重度)	结膜干燥症##干眼症
右乳腺肿物切除术后	乳房肿物##乳腺术后
非霍奇金淋巴瘤滤泡向弥漫大B细胞转化	非霍奇金淋巴瘤
中枢神经运动协调障碍	中枢性协调障碍
胃体萎缩Hp治疗后复查	慢性萎缩性胃炎
盆腔粘液性囊性瘤	盆腔良性肿瘤##粘液性囊腺瘤
人工流产伴有组织物滞留	流产
左胫腓骨挫伤	胫骨骨折##腓骨骨折
双眼糖尿病性病变	未特指的糖尿病伴有眼的并发症
肾功能检查的异常结果	肾功能不全
脑内多发缺血性脱髓鞘6双侧上颌窦少量积液	脱髓鞘性脑病##脑血管供血不足
右跟骨部分撕脱性骨折	跟骨骨折
颅内动静脉畸形	头面血管畸形
宫内膜复杂性增生局部轻度非典型性	子宫内膜增生##宫颈上皮不典型增生
肠癌; 喉癌	肠道恶性肿瘤##喉恶性肿瘤##癌
肺Ca合并感染	肺恶性肿瘤##肺部感染##癌
有放疗指征择期放疗	放射治疗
双足坏疽伴感染	下肢坏疽##感染
右肺中叶肺不张	肺不张
高血压性心肌病变	高血压性心脏病
阴道前壁重度膨出后壁中度膨出	阴道前后壁脱垂
多发性淋巴结肿大（淋巴瘤可能性大）	淋巴结肿大##淋巴瘤##淋巴瘤
1.冠心病陈旧前间壁心梗2.高血压3.2型糖尿病	冠状动脉粥样硬化性心脏病##陈旧性前间壁心肌梗死##高血压##2型糖尿病
支气管扩张并感染右肺下叶不张	支气管扩张症合并感染##肺不张
左股动脉支架植入术	周围血管支架植入术后状态
左跟腱陈旧撕裂伴血肿	跟腱损伤
宫颈低级别上皮内病变CINI改变	子宫颈上皮瘤样病变[CIN]I级
肝病血吸虫肝改变可能	血吸虫病##未特指的肝病
肺纤维化肺右侧斜裂纤维硬结	肺纤维化
待查类风湿强脊炎	强直性脊柱炎##类风湿性关节炎
右眼ICE综合症右眼睫状体光凝后	虹膜角膜内皮综合征[ICE综合征]
左乳浸润性癌改良根治术后pT1cN0M0 IA期	乳腺恶性肿瘤##乳腺术后##浸润性导管癌
膝髌下脂肪垫撞击综合征	髌骨后脂肪垫综合征[Hoffa综合征]
左侧颈内动脉血栓形成	颈内动脉血栓形成
子宫内膜不典型息肉样腺肌瘤	子宫腺肌瘤
右月骨开放性脱位并正中神经卡压	正中神经卡压综合征
脐周感染	脐部感染
双足膝内翻	足畸形##膝内翻
鳃裂瘘管术后	鳃裂瘘
左膝皮肤破裂伤	下肢撕裂伤
甲状腺良性滤泡病变	其他特指的甲状腺疾患
右中叶和左上肺下舌段慢性炎症	肺炎
部分小肠切除标本小肠异位胃粘膜和异位胰腺	先天性胃粘膜异位##先天性胰腺异位
腰1腰5陈旧性压缩病变	腰椎压缩性骨折##陈旧性腰椎骨折##腰椎骨折L1##腰椎骨折L5
脑硬变早老性阿尔海茨海默	阿尔茨海默病(老年前期型)
宫颈湿疣阴道湿疣	尖锐湿疣##肛门生殖器疣
双下肢无力待查--腰椎间盘病变	肢体无力##椎间盘疾患
低白细胞血血症低中性粒细胞血症	白细胞减少##中性粒细胞减少症
支气管哮喘继发感染糖尿病高血压病;冠心病	支气管哮喘##感染##糖尿病##高血压##冠状动脉粥样硬化性心脏病
嗅觉缺乏	嗅觉丧失
PBC脾功能亢进	原发性胆汁型肝硬化##脾功能亢进
右肾多发肾结石	肾结石
结肠毛细血管扩张症	胃肠道毛细血管扩张症
心律不齐快速型房颤	心律失常##心房颤动[心房纤颤]
横结肠缺血坏死伴穿孔	缺血性肠坏死##结肠穿孔
胃窦隆起管状腺瘤	胃良性肿瘤##管状腺瘤
膀胱结石取石术后	膀胱结石##膀胱术后
十二指肠乳头低级别绒毛状管状腺瘤	十二指肠良性肿瘤##管状绒毛状腺瘤
"肝癌术后,残余及肝内新生灶,失眠伴焦虑抑郁状态"	肝术后##肝恶性肿瘤##失眠##焦虑状态##抑郁状态##癌
右侧眼眶撞伤	眼和眶未特指的损伤
左侧髂窝囊性占位	骨盆部囊肿
特发性色素性斑	色素沉着未特指的疾患
先天性肠重复畸形	肠重复畸形
膀胱充盈欠佳前列腺略增大	前列腺增生
构音障碍和言语讷吃	构音障碍##言语讷吃
枕叶异常密度影	"颅骨和头诊断性影像检查的异常所见,不可归类在他处者"
电弧烧伤双手	手部烧伤##电流引起烧伤
前庭神经元Hunter综合征	膝状神经节炎
家族性渗出性玻璃体视网膜病变	家族性渗出性玻璃体视网膜病变
白质脑病病因不清中毒可能大	脑白质病##中毒性脑病
降结肠管状腺瘤未带蒂部	管状腺瘤##降结肠良性肿瘤
胃体下部IIa型病灶并内镜粘膜下剥离术	胃和十二指肠未特指的疾病
SLE肺间质病变髋病变	间质性肺病##系统性红斑狼疮
膨胀纹cushing综合症	皮质醇增多症[库欣综合征]
贲门局灶癌变	贲门恶性肿瘤##癌
右肘关节肿块	上肢肿物
肺结节(右肺实性结节，慢性炎症？)	肺占位性病变##肺炎
肉芽肿性唇炎	唇炎
妊娠11+1周，G4P1，甲减，巨大儿分娩史，	孕11周##甲状腺功能减退
耳鸣;分泌性中耳炎;鼻中隔偏曲;慢性咽炎;鼻窦炎;头痛;脑血管供血不足;变应性支气管炎	耳鸣##分泌性中耳炎##鼻中隔偏曲##慢性咽炎##鼻窦炎##头痛##脑血管供血不足##支气管炎
左大腿肉芽肿性炎	肉芽肿
软组织淋巴瘤	软组织恶性肿瘤##淋巴瘤##淋巴瘤
升结肠中分化管状腺癌	升结肠恶性肿瘤##管状腺癌
右胸壁脂肪坏死性肉芽肿性炎	脂肪坏死##肉芽肿
回盲部粘液腺癌术后	回盲部恶性肿瘤##粘液腺癌
原发不孕POF盆腔输卵管因素EMS	原发不孕##卵巢早衰
肉芽肿性肝炎	"肉芽肿性肝炎,不可归类在他处者"
C3~4脊髓损伤	颈部脊髓损伤
卵巢高级别浆液性腺癌	卵巢恶性肿瘤##腺癌
乳癌化疗	乳腺恶性肿瘤##癌##化学治疗
盲肠横结肠管状腺瘤	管状腺瘤##横结肠良性肿瘤##盲肠良性肿瘤
右乳癌综合治疗后肝、骨转移 IV期	乳腺恶性肿瘤##骨继发恶性肿瘤##肝继发恶性肿瘤##癌##转移性癌
右眼急性视网膜坏死	急性视网膜坏死综合征
双膝关节骨关节病	双侧膝关节骨性关节病
双侧豆状核变性萎缩	大脑变性##脑萎缩
右侧舌鳞癌	舌恶性肿瘤##鳞状细胞癌
高血压脑动脉硬化	高血压##动脉硬化
锥体外糸病	锥体外系综合征
慢性淤血性脾肿大伴局部梗死	慢性充血性脾大##脾梗死
右上肺结节：炎症？MT？	肺占位性病变##肺炎##肺恶性肿瘤
肩关节肘关节退行性病变	肩骨关节病##肘骨关节病
完全性肺静脉异位引流——混合型延迟关胸	"完全性肺静脉异位引流,混合型"
右上肺浸润性腺癌（cT2aN2M1bIV期）	右肺上叶恶性肿瘤##腺癌
慢性炎症性脱髓鞘性多发性神经病	慢性炎性脱鞘性多发性神经根神经病[慢性吉兰-巴雷巴利综合征]
波状热流产热	布氏杆菌病[波状热]
不典型帕金森综合征	帕金森综合征
46慢性根尖牙周炎	慢性根尖周炎
左上肢开水烫伤	沸水烫伤##上肢烫伤
感染性发疹?过敏性皮炎？	过敏性皮炎
双侧输卵管伞端阻塞伴输卵管扩张积液	输卵管积水##输卵管梗阻
特指胎盘疾病低置胎盘状态	其他的胎盘疾患##低置胎盘
肝门区胆管癌	肝门胆管恶性肿瘤##癌
走路不稳双手无力原因待查格林巴利综合征	肌无力##吉兰-巴雷综合征
周围神经病(？)	多发性神经病[多发性神经炎/周围神经炎]
骨关节病OA	骨关节病
慢性萎缩性胃炎伴肠化	慢性萎缩性胃炎##肠上皮化生
右半结肠Crohn氏病	结肠克罗恩病
甲亢免疫性甲状腺炎？	甲状腺功能亢进症##自身免疫性甲状腺炎[桥本病]
先天性眼底缺陷双眼失明	先天性眼底缺损##双眼盲
右侧颌下瘢痕	瘢痕
继发性肾病综合症	肾病综合征
COPD肺心病抗病毒治疗免疫功能低	慢性阻塞性肺疾病##肺源性心脏病##抗病毒药的有害效应
胫骨软骨瘤	胫骨良性肿瘤##软骨瘤
左示中指撕脱性骨折	指骨骨折
系统性红斑狼疮狼疮肾炎	系统性红斑狼疮##狼疮性肾炎
结肠癌癌痛	结肠恶性肿瘤##癌##癌性疼痛
左侧阴囊皮肤Paget’s病	阴囊恶性肿瘤##乳房以外的佩吉特病
右肱二头肌肌腱脱位	肌腱滑脱
动脉粥样硬化斑块伴有狭窄	动脉粥样硬化##动脉狭窄
糖尿病并眼部病变	未特指的糖尿病伴有眼的并发症
宫颈鳞状上皮内瘤变II级	宫颈上皮瘤样病变[CIN]II级
腹腔间室综合症	腹腔筋膜室综合征[腹腔室隔综合征ACS]
左回旋支粥样硬化伴重度狭窄	冠状动脉粥样硬化##冠状动脉狭窄
"先天性心脏病：ASD,VSD,PDA"	先天性心脏病##房间隔缺损##室间隔缺损##动脉导管未闭
左面颊部淋巴水瘤	水囊瘤##面部淋巴管瘤
右侧颞叶内侧梗塞急性期多发性腔隙性脑梗塞	多发性脑梗死##腔隙性脑梗死
右腹股沟滤泡性淋巴瘤靶向治疗	滤泡淋巴瘤##恶性肿瘤靶向治疗
颈椎反曲	颈椎后凸
左肺小细胞Ca广泛期	左肺恶性肿瘤##小细胞癌
癫痫脑梗死	癫痫##脑梗死
经前紧张综合征	经前期紧张综合征
腹主动脉股动脉血栓	股动脉血栓形成##腹主动脉血栓形成
胆囊癌并肝转移伴梗阻性黄疸	胆囊恶性肿瘤##癌##梗阻性黄疸##肝继发恶性肿瘤##转移性癌
右心房血管肉瘤	血管肉瘤##心房恶性肿瘤
椎管内硬脊膜血管脂肪榴	椎管内脂肪瘤##血管脂肪瘤
脑动脉痉挛，脑功能失调；睡眠障碍	脑动脉痉挛##睡眠障碍
Barrett's巴莱特食管胃糜烂	巴氏食管##糜烂性胃炎
双乳溢奶液	溢乳
卵巢异常信号影	其他特指身体结构诊断性影像检查的异常所见
右膝后十字韧带损伤	膝关节后十字韧带损伤
胆汁反流性胃炎	反流性胃炎##胆汁反流
糖尿病性自主功能紊乱	糖尿病性自主神经病
脑出血脑干出血破入四脑室及中脑导水管	脑出血##脑干出血
（子宫）子宫内膜样腺癌，中分化；	子宫内膜样腺癌##子宫内膜恶性肿瘤
中高分化腺癌	腺癌
儿保生长发育同同龄儿头围大缺锌	锌缺乏
狼疮肾LN-IVV复发治疗后复诊	狼疮性肾炎
角膜上皮擦伤	角膜擦伤
右侧肺炎伴肺炎旁胸腔积液	肺炎##胸腔积液
脑内多发腔隙灶老年性脑改变	腔隙性脑梗死
冠心病;失眠;慢性喘息性支气管炎	冠状动脉粥样硬化性心脏病##失眠##O
十二指肠壶腹部中低分化腺癌	法特壶腹恶性肿瘤##腺癌
睾丸未发育性腺低功	先天性睾丸发育不良##男性性腺功能低下
甲状腺乳头状癌术后伴双肺转移（TxN1bM1，Ⅳc期，高危）	甲状腺恶性肿瘤##甲状腺术后##甲状腺乳头状癌##肺继发恶性肿瘤##转移性乳头状癌
右耳廓外耳道沸水烫伤	沸水烫伤
右乳外上局限性腺体增厚明显Ca待排	乳腺恶性肿瘤##癌
(肋间神经痛胸膜炎)	肋间神经痛##胸膜炎
右半结肠高中分化腺癌	结肠恶性肿瘤##腺癌
多发颅内动脉狭窄	动脉狭窄
右乳伤口愈合不良	乳房开放性损伤##开放性损伤愈合不良
汽车排气管烫伤2%Ⅲ°右前臂腹部左	上肢烫伤##躯干部烫伤
分叶性肾炎	膜性增殖性肾小球肾炎
右上肺斑片状影陈旧性病灶	肺病##肺部阴影
宫颈高级别上皮内病变CINⅢ级并累及腺体	子宫颈上皮内瘤变III级[CINIII级]
吞咽堵塞感查因贲门迟缓	吞咽障碍##贲门失弛缓
颈肌抽搐查因	不自主运动
外源性皮质功能减退症	其他和未特指的肾上腺皮质功能减退症
胎盘绒毛及蜕膜组织局部可见变性梗死	胎盘梗死
IVF治疗内异位高PRL血症	胚胎移植术后##高泌乳素血症
胃低分化腺癌化疗后	胃恶性肿瘤##腺癌##化学治疗
双肾高密度影较前增多	泌尿器官诊断性影像检查的异常所见
双乳雷诺氏症	雷诺综合征
失眠(神经衰弱)	神经衰弱##失眠
功能性胃肠紊乱	胃肠功能紊乱
老年性精神病认知功能障碍老年性	精神障碍##认知障碍
与人发生冲突时被人用凳子打伤头部	头部损伤
癫痫。运动发育落后	癫痫
颌下腺结石术后	涎石病
多发腰椎压缩性骨折	腰椎压缩性骨折##腰椎多发性骨折
胃体低分化腺癌IV期 肠型 HER2(-) 化疗	胃体恶性肿瘤##腺癌##化学治疗
药物诱导自身免疫性肝炎	自身免疫性肝炎
偏执狂	妄想性障碍
呼碱合并代酸	呼吸性碱中毒##代谢性酸中毒
糙皮病	糙皮病[陪粒格/烟酸缺乏]
耳部恶性肿瘤	恶性肿瘤##耳部肿瘤
肢体截肢术后	截肢
左膝符合游离体以软骨组织为主局部伴骨化	膝关节游离体
双下肢废用性萎缩左足跟压疮	压疮##失用性肌肉萎缩
右侧骶髂关节椎体退行性变	骨关节病##脊椎退行性病变
隐匿性乳腺癌	乳腺恶性肿瘤##癌
右侧睾丸肿瘤术后刀口感染	手术后切口感染##睾丸肿瘤
左下肢肌萎缩	下肢肌肉萎缩
贲门粘液腺癌	贲门恶性肿瘤##粘液腺癌
自发性颅内低压硬膜外自体血注射治疗后	自发性低颅压综合征[原发性低颅压]
左眼白内障	白内障
宫颈癌Ⅱb期化疗后	子宫颈恶性肿瘤##化学治疗##癌
血管免疫母	血管免疫母细胞性淋巴结病
右乳腺浸润性癌术后化疗后靶向治疗（pT2N0M0	乳腺恶性肿瘤##恶性肿瘤术后化疗##恶性肿瘤术后靶向治疗##癌
左侧月骨三角骨缺血坏死	月骨缺血性坏死##骨缺血性坏死
双上腔静脉左上腔静脉异位引流	先天性双上腔静脉
右腮腺低分化癌	腮腺恶性肿瘤##癌
肝脏挫伤术后	肝挫伤##肝术后
胃癌累及食道	胃恶性肿瘤##食管继发恶性肿瘤##癌
直肠癌放化疗后 T3N1M0 IIIB期	直肠恶性肿瘤##癌##恶性肿瘤放疗##化学治疗##淋巴结继发恶性肿瘤
